competicao,temporada,id_partida,estadio,campo,equipe,pro_contra,jogador,minuto_str,minuto_num
Brasileirao,2017,74,Morumbi,visitante,ATLETICO - MG,pro,Cazares,7' (1ºT),7.0
Brasileirao,2017,74,Morumbi,mandante,SAO PAULO - SP,pro,Marcinho,1' (2ºT),46.0
Brasileirao,2017,74,Morumbi,visitante,ATLETICO - MG,pro,Rafael Moura,35' (2ºT),80.0
Brasileirao,2017,75,Mineirão,visitante,GREMIO - RS,pro,Everton,16' (1ºT),16.0
Brasileirao,2017,75,Mineirão,visitante,GREMIO - RS,pro,Michel,41' (1ºT),41.0
Brasileirao,2017,75,Mineirão,mandante,CRUZEIRO - MG,pro,Thiago Neves,45' (1ºT),45.0
Brasileirao,2017,75,Mineirão,mandante,CRUZEIRO - MG,pro,Rafael Sobis,3' (2ºT),48.0
Brasileirao,2017,75,Mineirão,visitante,GREMIO - RS,pro,Ramiro,15' (2ºT),60.0
Brasileirao,2017,75,Mineirão,mandante,CRUZEIRO - MG,pro,Robinho,17' (2ºT),62.0
Brasileirao,2017,77,Ilha do Retiro,visitante,VITORIA - BA,pro,Uillian Correia,17' (1ºT),17.0
Brasileirao,2017,77,Ilha do Retiro,visitante,VITORIA - BA,pro,Kanu,37' (1ºT),37.0
Brasileirao,2017,77,Ilha do Retiro,mandante,SPORT - PE,pro,Diego Souza,45' (1ºT),45.0
Brasileirao,2017,77,Ilha do Retiro,visitante,VITORIA - BA,pro,Andre Lima,33' (2ºT),78.0
Brasileirao,2017,78,Arena Fonte Nova,visitante,PALMEIRAS - SP,pro,Roger Guedes,17' (1ºT),17.0
Brasileirao,2017,78,Arena Fonte Nova,mandante,BAHIA - BA,pro,Vinicius,44' (1ºT),44.0
Brasileirao,2017,78,Arena Fonte Nova,visitante,PALMEIRAS - SP,pro,Keno,2' (2ºT),47.0
Brasileirao,2017,78,Arena Fonte Nova,visitante,PALMEIRAS - SP,pro,Yerri Mina,37' (2ºT),82.0
Brasileirao,2017,78,Arena Fonte Nova,mandante,BAHIA - BA,pro,Joao Paulo,38' (2ºT),83.0
Brasileirao,2017,78,Arena Fonte Nova,visitante,PALMEIRAS - SP,pro,Willian,45+1' (2ºT),90.5
Brasileirao,2017,79,Olímpico Pedro Ludovico,visitante,ATLETICO - PR,pro,Sidcley,3' (1ºT),3.0
Brasileirao,2017,80,Arena Condá,visitante,BOTAFOGO - RJ,pro,Roger,28' (1ºT),28.0
Brasileirao,2017,80,Arena Condá,visitante,BOTAFOGO - RJ,pro,Pimpao,8' (2ºT),53.0
Brasileirao,2017,81,Nilton Santos,mandante,BOTAFOGO - RJ,pro,Roger,4' (1ºT),4.0
Brasileirao,2017,81,Nilton Santos,mandante,BOTAFOGO - RJ,pro,Victor,45+3' (1ºT),45.5
Brasileirao,2017,81,Nilton Santos,mandante,BOTAFOGO - RJ,pro,Roger,15' (2ºT),60.0
Brasileirao,2017,81,Nilton Santos,visitante,VASCO DA GAMA - RJ,pro,Caio Monteiro,39' (2ºT),84.0
Brasileirao,2017,82,Luso Brasileiro,mandante,FLAMENGO - RJ,pro,Diego,13' (1ºT),13.0
Brasileirao,2017,82,Luso Brasileiro,mandante,FLAMENGO - RJ,pro,Guerrero,18' (1ºT),18.0
Brasileirao,2017,82,Luso Brasileiro,visitante,CHAPECOENSE - SC,pro,Victor Ramos,10' (2ºT),55.0
Brasileirao,2017,82,Luso Brasileiro,mandante,FLAMENGO - RJ,pro,Guerrero,29' (2ºT),74.0
Brasileirao,2017,82,Luso Brasileiro,mandante,FLAMENGO - RJ,pro,Diego,33' (2ºT),78.0
Brasileirao,2017,82,Luso Brasileiro,mandante,FLAMENGO - RJ,pro,Guerrero,36' (2ºT),81.0
Brasileirao,2017,83,Allianz Parque,mandante,PALMEIRAS - SP,pro,Borja,45+1' (1ºT),45.5
Brasileirao,2017,84,Arena Corinthians,mandante,CORINTHIANS - SP,pro,Jo,24' (1ºT),24.0
Brasileirao,2017,84,Arena Corinthians,mandante,CORINTHIANS - SP,pro,Balbuena,34' (2ºT),79.0
Brasileirao,2017,84,Arena Corinthians,mandante,CORINTHIANS - SP,pro,Marquinhos Gabriel,45+3' (2ºT),90.5
Brasileirao,2017,85,Independência,visitante,SPORT - PE,pro,Osvaldo,16' (1ºT),16.0
Brasileirao,2017,85,Independência,mandante,ATLETICO - MG,pro,Felipe,21' (1ºT),21.0
Brasileirao,2017,85,Independência,mandante,ATLETICO - MG,pro,Fred,39' (1ºT),39.0
Brasileirao,2017,85,Independência,visitante,SPORT - PE,pro,Diego Souza,19' (2ºT),64.0
Brasileirao,2017,86,Arena da Baixada,mandante,ATLETICO - PR,pro,Wanderson,4' (1ºT),4.0
Brasileirao,2017,87,Arena do Grêmio,mandante,GREMIO - RS,pro,Pedro Rocha,9' (1ºT),9.0
